game_date,away_team,home_team,away_ml_dk,home_ml_dk
2021-09-09,Dodgers,Cardinals,-170,+150
2021-09-09,White Sox,Athletics,+130,-150
2021-09-09,Twins,Indians,+125,-145
2021-09-09,Mets,Marlins,-180,+155
2021-09-09,Rockies,Phillies,+160,-190
2021-09-09,Blue Jays,Yankees,+100,-120
2021-09-09,Royals,Orioles,+100,-120
2021-09-09,Nationals,Braves,+180,-220
