game_date,away_team,home_team,away_ml_dk,home_ml_dk
2021-08-31,Phillies,Nationals,105,-125
2021-08-31,Orioles,Blue Jays,250,-320
2021-08-31,Athletics,Tigers,-115,-105
2021-08-31,Red Sox,Rays,125,-145
2021-08-31,Marlins,Mets,145,-165
2021-08-31,Rockies,Rangers,-130,110
2021-08-31,Pirates,White Sox,100,-120
2021-08-31,Cubs,Twins,130,-150
2021-08-31,Indians,Royals,100,-120
2021-08-31,Yankees,Angels,-200,170
2021-08-31,Padres,Diamondbacks,-165,145
2021-08-31,Brewers,Giants,-135,115
2021-08-31,Braves,Dodgers,165,-195
2021-08-31,Astros,Mariners,-160,140
