game_date,away_team,home_team,away_ml_dk,home_ml_dk
2021-09-02,Red Sox,Rays,145,-165
2021-09-02,Marlins,Mets,135,-155
2021-09-02,Pirates,Cubs,115,-135
2021-09-02,Indians,Royals,-105,-115
2021-09-02,Braves,Rockies,-160,140
