game_date,away_team,home_team,away_ml_dk,home_ml_dk
2021-09-08,Mets,Marlins,-120,-110
2021-09-08,Blue Jays,Yankees,+110,-130
2021-09-08,Royals,Orioles,-130,+110
2021-09-08,Rays,Red Sox,-110,-110
2021-09-08,Nationals,Braves,+175,-210
2021-09-08,Phillies,Brewers,+145,-165
2021-09-08,Reds,Cubs,-115,-105
2021-09-08,Dodgers,Cardinals,-130,+110
2021-09-08,Angels,Padres,+230,-290
2021-09-08,White Sox,Athletics,+140,-160
